year,season,transect,station,replicate,depth,present?,present Moc?,comments
2018,winter,NH,2,MaD,0-100,no,neither,
2018,winter,NH,2,MaD,75-100,no,neither,
2018,winter,NH,2,MaD,50-75,no,neither,
2018,winter,NH,2,MaD,25-50,no,neither,
2018,winter,NH,2,MaD,0-25,no,neither,
2018,winter,NH,4,MaD,0-100,no,neither,
2018,winter,NH,4,MaD,75-100,no,neither,
2018,winter,NH,4,MaD,50-75,no,neither,
2018,winter,NH,4,MaD,25-50,no,neither,
2018,winter,NH,4,MaD,0-25,no,neither,
2018,winter,TR,4,MaD,0-100,no,neither,
2018,winter,TR,4,MaD,75-100,no,neither,
2018,winter,TR,4,MaD,50-75,no,neither,
2018,winter,TR,4,MaD,25-50,no,neither,
2018,winter,TR,4,MaD,0-25,no,neither,
2018,winter,NH,4,MbD,0-100,no,neither,
2018,winter,NH,4,MbD,75-100,no,neither,
2018,winter,NH,4,MbD,50-75,no,neither,
2018,winter,NH,4,MbD,25-50,no,neither,
2018,winter,NH,4,MbD,0-25,no,neither,
2018,winter,TR,1,MbD,0-100,no,neither,
2018,winter,TR,1,MbD,75-100,no,neither,
2018,winter,TR,1,MbD,50-75,no,neither,
2018,winter,TR,1,MbD,25-50,no,neither,
2018,winter,TR,1,MbD,0-25,no,neither,
2018,winter,TR,2,MbD,0-100,no,neither,
2018,winter,TR,2,MbD,75-100,no,neither,
2018,winter,TR,2,MbD,50-75,no,neither,
2018,winter,TR,2,MbD,25-50,no,neither,
2018,winter,TR,2,MbD,0-25,no,neither,
2018,winter,TR,3,MbD,0-100,no,neither,
2018,winter,TR,3,MbD,75-100,no,neither,
2018,winter,TR,3,MbD,50-75,no,neither,
2018,winter,TR,3,MbD,25-50,no,neither,
2018,winter,TR,3,MbD,0-25,no,neither,
2018,winter,TR,4,MbD,0-100,no,neither,
2018,winter,TR,4,MbD,75-100,no,neither,
2018,winter,TR,4,MbD,50-75,no,neither,
2018,winter,TR,4,MbD,25-50,no,neither,
2018,winter,TR,4,MbD,0-25,no,neither,
2018,winter,TR,5,MbD,0-100,no,neither,
2018,winter,TR,5,MbD,75-100,no,neither,
2018,winter,TR,5,MbD,50-75,no,neither,
2018,winter,TR,5,MbD,25-50,no,neither,
2018,winter,TR,5,MbD,0-25,no,neither,
2018,winter,NH,3,MaD,75-100,maybe,both,oblique
2018,winter,NH,3,MaD,50-75,maybe,both,oblique
2018,winter,NH,3,MaD,25-50,maybe,both,oblique
2018,winter,NH,3,MaD,0-25,yes,1,has asterisk; no fish
2018,winter,NH,5,MaD,75-100,maybe,both,oblique
2018,winter,NH,5,MaD,50-75,maybe,both,oblique
2018,winter,NH,5,MaD,25-50,maybe,both,oblique
2018,winter,NH,5,MaD,0-25,maybe,both,oblique
2018,winter,TR,1,MaD,75-100,maybe,both,oblique
2018,winter,TR,1,MaD,50-75,maybe,both,oblique
2018,winter,TR,1,MaD,25-50,maybe,both,oblique
2018,winter,TR,1,MaD,0-25,yes,1,has asterisk; no fish
2018,winter,TR,2,MaD,75-100,maybe,both,oblique
2018,winter,TR,2,MaD,50-75,maybe,both,oblique
2018,winter,TR,2,MaD,25-50,maybe,both,oblique
2018,winter,TR,2,MaD,0-25,yes,1,has asterisk; no fish
2018,winter,TR,3,MaD,75-100,maybe,both,oblique
2018,winter,TR,3,MaD,50-75,maybe,both,oblique
2018,winter,TR,3,MaD,25-50,maybe,both,oblique
2018,winter,TR,3,MaD,0-25,yes,1,has asterisk; no fish
2018,winter,TR,5,MaD,75-100,maybe,both,oblique
2018,winter,TR,5,MaD,50-75,maybe,both,oblique
2018,winter,TR,5,MaD,25-50,maybe,both,oblique
2018,winter,TR,5,MaD,0-25,yes,1,has asterisk; no fish
2018,winter,NH,2,MbD,75-100,maybe,both,oblique
2018,winter,NH,2,MbD,50-75,maybe,both,oblique
2018,winter,NH,2,MbD,25-50,maybe,both,oblique
2018,winter,NH,2,MbD,0-25,yes,1,has asterisk
2018,winter,NH,3,MbD,75-100,maybe,both,oblique
2018,winter,NH,3,MbD,50-75,maybe,both,oblique
2018,winter,NH,3,MbD,25-50,maybe,both,oblique
2018,winter,NH,3,MbD,0-25,yes,1,has asterisk
2018,winter,NH,5,MbD,75-100,maybe,both,oblique
2018,winter,NH,5,MbD,50-75,maybe,both,oblique
2018,winter,NH,5,MbD,25-50,maybe,both,oblique
2018,winter,NH,5,MbD,0-25,yes,1,has asterisk
2019,winter,TR,4,MaD,75-100,yes,both,no fish in either
2019,winter,TR,2,MaN,0-100,yes,both,"fish MOC 1 ""NA"""
2019,winter,TR,2,MaN,0-25,yes,both,"fish ""NA"""
2019,winter,TR,4,MaN,75-100,yes,both,"fish ""NA"""
2019,winter,TR,2,MbD,75-100,yes,both,no fish in either
2019,winter,TR,3,MbD,50-75,yes,both,no fish in either
2019,winter,TR,3,MbD,25-50,yes,both,no fish in either
2019,winter,TR,3,MbD,0-25,yes,both,no fish in either
2019,winter,TR,3,MbN,0-25,yes,both,"fish ""NA"""
2019,winter,TR,5,MbN,0-25,yes,4,"fish ""NA"""
2019,winter,TR,1,MbN,0-100,yes,both,"fish MOC 1 ""NA"""
2019,winter,TR,1,MbN,25-50,yes,4,
2019,winter,TR,2,MbN,0-100,yes,both,"fish ""NA"""
2022,winter,GH,2,,50-75,no,neither,
2022,winter,GH,5,,25-50,yes,both,no fish in either
2022,winter,GH,5,,75-100,yes,both,no fish in either
2022,winter,GH,6,,0-25,yes,both,no fish in either
2022,winter,NH,2,,50-75,yes,4,
2022,winter,NH,2,,0-25,yes,both,
2023,winter,GH,5,,0-100,yes,both,
2023,winter,GH,5,,75-100,yes,both,no fish in either
2023,winter,GH,5,,50-75,yes,both,no fish in either
2023,winter,GH,5,,25-50,yes,both,
2023,winter,GH,5,,0-25,yes,both,
2023,winter,GH,6,,0-100,yes,both,
2023,winter,GH,6,,75-100,yes,both,MOC 4 no fish
2023,winter,GH,6,,50-75,yes,both,MOC 4 no fish
2023,winter,GH,6,,25-50,yes,both,MOC 4 no fish
2023,winter,GH,6,,0-25,yes,both,
2023,winter,CM,1,,0-100,no,neither,
2023,winter,CM,1,,75-100,no,neither,
2023,winter,CM,1,,50-75,no,neither,
2023,winter,CM,1,,25-50,no,neither,
2023,winter,CM,1,,0-25,no,neither,
2023,winter,CM,2,,0-100,no,neither,
2023,winter,CM,2,,75-100,no,neither,
2023,winter,CM,2,,50-75,no,neither,
2023,winter,CM,2,,25-50,no,neither,
2023,winter,CM,2,,0-25,no,neither,
2023,winter,CM,3,,0-100,no,neither,
2023,winter,CM,3,,75-100,no,neither,
2023,winter,CM,3,,50-75,no,neither,
2023,winter,CM,3,,25-50,no,neither,
2023,winter,CM,3,,0-25,no,neither,
2023,winter,CM,4,,0-100,no,neither,
2023,winter,CM,4,,75-100,no,neither,
2023,winter,CM,4,,50-75,no,neither,
2023,winter,CM,4,,25-50,no,neither,
2023,winter,CM,4,,0-25,no,neither,
2023,winter,RR,1,,0-100,no,neither,
2023,winter,RR,1,,75-100,no,neither,
2023,winter,RR,1,,50-75,no,neither,
2023,winter,RR,1,,25-50,no,neither,
2023,winter,RR,1,,0-25,no,neither,
2023,winter,RR,2,,0-100,no,neither,
2023,winter,RR,2,,75-100,no,neither,
2023,winter,RR,2,,50-75,no,neither,
2023,winter,RR,2,,25-50,no,neither,
2023,winter,RR,2,,0-25,no,neither,
2023,winter,RR,3,,0-100,no,neither,
2023,winter,RR,3,,75-100,no,neither,
2023,winter,RR,3,,50-75,no,neither,
2023,winter,RR,3,,25-50,no,neither,
2023,winter,RR,3,,0-25,no,neither,
2023,winter,RR,4,,0-100,no,neither,
2023,winter,RR,4,,75-100,no,neither,
2023,winter,RR,4,,50-75,no,neither,
2023,winter,RR,4,,25-50,no,neither,
2023,winter,RR,4,,0-25,no,neither,
2023,winter,NH,4,,0-100,yes,both,
2023,winter,NH,4,,75-100,yes,both,
2023,winter,NH,4,,50-75,yes,both,
2023,winter,NH,4,,25-50,yes,both,
2023,winter,NH,4,,0-25,yes,both,
2023,winter,NH,5,,0-100,yes,both,
2023,winter,NH,5,,75-100,yes,both,
2023,winter,NH,5,,50-75,yes,both,
2023,winter,NH,5,,25-50,yes,both,some MOC 1 fish unknown
2023,winter,NH,5,,0-25,yes,both,some MOC 4 fish unknown
2023,winter,HH,4,,0-100,yes,both,
2023,winter,HH,4,,75-100,yes,both,some MOC 1 fish unknown
2023,winter,HH,4,,50-75,yes,both,
2023,winter,HH,4,,25-50,yes,both,
2023,winter,HH,4,,0-25,yes,both,
2023,winter,HH,2,,0-100,yes,both,
